Date : 2025-09-25 23:30:56
Directory : d:\项目\计算机网络课设
Total : 154 files,  26138 codes, 3873 comments, 6546 blanks, all 36557 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Markdown |         75 |     12,937 |          0 |      3,469 |     16,406 |
| Python   |         76 |     11,161 |      3,873 |      3,066 |     18,100 |
| Log      |          1 |      1,955 |          0 |          1 |      1,956 |
| toml     |          1 |         79 |          0 |         10 |         89 |
| JSON     |          1 |          6 |          0 |          0 |          6 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        154 |     26,138 |      3,873 |      6,546 |     36,557 |
| .cunzhi-memory                                                                                         |          5 |         10 |          0 |          8 |         18 |
| LightweightPacketAnalyzer                                                                              |        118 |     18,421 |      3,873 |      4,955 |     27,249 |
| LightweightPacketAnalyzer (Files)                                                                      |         37 |      3,585 |        610 |        994 |      5,189 |
| LightweightPacketAnalyzer\docs                                                                         |         40 |      7,069 |          0 |      1,846 |      8,915 |
| LightweightPacketAnalyzer\docs\T1.1新建会话                                                                |          3 |        867 |          0 |        201 |      1,068 |
| LightweightPacketAnalyzer\docs\T1.2打开会话                                                                |          4 |      1,099 |          0 |        285 |      1,384 |
| LightweightPacketAnalyzer\docs\T1.3保存会话                                                                |          7 |        888 |          0 |        254 |      1,142 |
| LightweightPacketAnalyzer\docs\协议统计                                                                    |          3 |        406 |          0 |         96 |        502 |
| LightweightPacketAnalyzer\docs\单元测试修复                                                                  |          2 |        138 |          0 |         45 |        183 |
| LightweightPacketAnalyzer\docs\导出数据统计指标修复                                                              |          2 |        230 |          0 |         71 |        301 |
| LightweightPacketAnalyzer\docs\打开会话功能                                                                  |          3 |        335 |          0 |         94 |        429 |
| LightweightPacketAnalyzer\docs\捕获选项功能                                                                  |          7 |      1,334 |          0 |        332 |      1,666 |
| LightweightPacketAnalyzer\docs\数据包详情显示                                                                 |          9 |      1,772 |          0 |        468 |      2,240 |
| LightweightPacketAnalyzer\src                                                                          |         32 |      5,564 |      2,604 |      1,408 |      9,576 |
| LightweightPacketAnalyzer\src (Files)                                                                  |          1 |        131 |         20 |         26 |        177 |
| LightweightPacketAnalyzer\src\network_analyzer                                                         |         31 |      5,433 |      2,584 |      1,382 |      9,399 |
| LightweightPacketAnalyzer\src\network_analyzer (Files)                                                 |          2 |         84 |         33 |         24 |        141 |
| LightweightPacketAnalyzer\src\network_analyzer\analysis                                                |          9 |        990 |        744 |        329 |      2,063 |
| LightweightPacketAnalyzer\src\network_analyzer\capture                                                 |          2 |        165 |         91 |         48 |        304 |
| LightweightPacketAnalyzer\src\network_analyzer\config                                                  |          2 |        139 |         78 |         37 |        254 |
| LightweightPacketAnalyzer\src\network_analyzer\gui                                                     |          9 |      2,717 |        948 |        621 |      4,286 |
| LightweightPacketAnalyzer\src\network_analyzer\gui (Files)                                             |          2 |      1,169 |        464 |        189 |      1,822 |
| LightweightPacketAnalyzer\src\network_analyzer\gui\components                                          |          5 |      1,199 |        378 |        329 |      1,906 |
| LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs                                             |          2 |        349 |        106 |        103 |        558 |
| LightweightPacketAnalyzer\src\network_analyzer\processing                                              |          2 |        405 |        170 |        103 |        678 |
| LightweightPacketAnalyzer\src\network_analyzer\statistics                                              |          3 |        573 |        237 |        136 |        946 |
| LightweightPacketAnalyzer\src\network_analyzer\storage                                                 |          2 |        360 |        283 |         84 |        727 |
| LightweightPacketAnalyzer\tests                                                                        |          9 |      2,203 |        659 |        707 |      3,569 |
| docs                                                                                                   |         29 |      5,694 |          0 |      1,495 |      7,189 |
| docs (Files)                                                                                           |          2 |        138 |          0 |         64 |        202 |
| docs\GUI集成                                                                                             |         12 |      2,392 |          0 |        640 |      3,032 |
| docs\剩余功能实现                                                                                            |          9 |      1,842 |          0 |        495 |      2,337 |
| docs\网络流量统计                                                                                            |          6 |      1,322 |          0 |        296 |      1,618 |
| logs                                                                                                   |          1 |      1,955 |          0 |          1 |      1,956 |
| 课程设计要求以及实验报告模板                                                                                         |          1 |         58 |          0 |         87 |        145 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\项目\计算机网络课设\.cunzhi-memory\context.md                                                                | Markdown |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\.cunzhi-memory\metadata.json                                                             | JSON     |          6 |          0 |          0 |          6 |
| d:\项目\计算机网络课设\.cunzhi-memory\patterns.md                                                               | Markdown |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\.cunzhi-memory\preferences.md                                                            | Markdown |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\.cunzhi-memory\rules.md                                                                  | Markdown |          1 |          0 |          2 |          3 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\README.md                                                      | Markdown |        112 |          0 |         33 |        145 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\add_raw_data.py                                                | Python   |         77 |         17 |         22 |        116 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_all_packets.py                                           | Python   |         63 |          9 |         15 |         87 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_db.py                                                    | Python   |         23 |          8 |         10 |         41 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_db_structure.py                                          | Python   |         36 |          9 |         14 |         59 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_latest_packets.py                                        | Python   |         72 |          7 |         17 |         96 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_session55.py                                             | Python   |         37 |          4 |          8 |         49 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_session_79_packets.py                                    | Python   |         44 |         10 |         16 |         70 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\clean_duplicate_packets.py                                     | Python   |        104 |         18 |         35 |        157 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_database.py                                              | Python   |         84 |         11 |         16 |        111 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_duplicate_gui.py                                         | Python   |        101 |         19 |         31 |        151 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_duplicate_packets.py                                     | Python   |         85 |         13 |         22 |        120 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_packets.py                                               | Python   |         47 |          8 |         13 |         68 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session.py                                               | Python   |         27 |          3 |          7 |         37 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_79.py                                            | Python   |         71 |         11 |         18 |        100 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_issue.py                                         | Python   |        108 |         13 |         28 |        149 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_session_packets.py                                       | Python   |         66 |         11 |         14 |         91 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\debug_test.py                                                  | Python   |         43 |         12 |         15 |         70 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\ACCEPTANCE_T1.1新建会话.md                           | Markdown |        431 |          0 |         89 |        520 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\FINAL_T1.1新建会话.md                                | Markdown |        213 |          0 |         59 |        272 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.1新建会话\TODO_T1.1新建会话.md                                 | Markdown |        223 |          0 |         53 |        276 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\ALIGNMENT_T1.2打开会话.md                            | Markdown |        124 |          0 |         29 |        153 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\APPROVAL_T1.2打开会话.md                             | Markdown |        194 |          0 |         55 |        249 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\DESIGN_T1.2打开会话.md                               | Markdown |        348 |          0 |        101 |        449 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.2打开会话\TASK_T1.2打开会话.md                                 | Markdown |        433 |          0 |        100 |        533 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\ACCEPTANCE_T1.3保存会话.md                           | Markdown |        124 |          0 |         29 |        153 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\ALIGNMENT_T1.3保存会话.md                            | Markdown |         91 |          0 |         25 |        116 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\CONSENSUS_T1.3保存会话.md                            | Markdown |         69 |          0 |         21 |         90 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\DESIGN_T1.3保存会话.md                               | Markdown |        205 |          0 |         58 |        263 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\FINAL_T1.3保存会话.md                                | Markdown |        112 |          0 |         34 |        146 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TASK_T1.3保存会话.md                                 | Markdown |        182 |          0 |         49 |        231 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\T1.3保存会话\TODO_T1.3保存会话.md                                 | Markdown |        105 |          0 |         38 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\ACCEPTANCE_协议统计.md                                   | Markdown |        210 |          0 |         46 |        256 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_CSVExport.md                              | Markdown |        116 |          0 |         35 |        151 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_ChartDisplay.md                           | Markdown |         80 |          0 |         15 |         95 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\ACCEPTANCE_单元测试修复.md                               | Markdown |         55 |          0 |         19 |         74 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\单元测试修复\FINAL_单元测试修复.md                                    | Markdown |         83 |          0 |         26 |        109 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\FINAL_导出数据统计指标修复.md                            | Markdown |        121 |          0 |         37 |        158 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\TODO_导出数据统计指标修复.md                             | Markdown |        109 |          0 |         34 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\ACCEPTANCE_打开会话功能.md                               | Markdown |        117 |          0 |         32 |        149 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\FINAL_打开会话功能.md                                    | Markdown |        109 |          0 |         33 |        142 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\打开会话功能\TODO_打开会话功能.md                                     | Markdown |        109 |          0 |         29 |        138 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ACCEPTANCE_捕获选项功能.md                               | Markdown |         99 |          0 |         21 |        120 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ALIGNMENT_捕获选项功能.md                                | Markdown |        148 |          0 |         34 |        182 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\CONSENSUS_捕获选项功能.md                                | Markdown |        113 |          0 |         28 |        141 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\DESIGN_捕获选项功能.md                                   | Markdown |        325 |          0 |         77 |        402 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\FINAL_捕获选项功能.md                                    | Markdown |        144 |          0 |         38 |        182 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TASK_捕获选项功能.md                                     | Markdown |        360 |          0 |         90 |        450 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TODO_捕获选项功能.md                                     | Markdown |        145 |          0 |         44 |        189 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ACCEPTANCE_数据包详情显示.md                             | Markdown |        118 |          0 |         32 |        150 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\ALIGNMENT_数据包详情显示.md                              | Markdown |        115 |          0 |         28 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\APPROVAL_数据包详情显示.md                               | Markdown |        227 |          0 |         84 |        311 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\CONSENSUS_数据包详情显示.md                              | Markdown |        118 |          0 |         31 |        149 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DEBUG_数据包详情显示.md                                  | Markdown |        141 |          0 |         40 |        181 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\DESIGN_数据包详情显示.md                                 | Markdown |        429 |          0 |         91 |        520 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\FINAL_数据包详情显示.md                                  | Markdown |        179 |          0 |         43 |        222 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TASK_数据包详情显示.md                                   | Markdown |        378 |          0 |         97 |        475 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\数据包详情显示\TODO_数据包详情显示.md                                   | Markdown |         67 |          0 |         22 |         89 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\pyproject.toml                                                 | toml     |         79 |          0 |         10 |         89 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\__init__.py                               | Python   |         12 |          7 |          3 |         22 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\__init__.py                      | Python   |          8 |          5 |          2 |         15 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\arp_parser.py                    | Python   |        103 |         85 |         30 |        218 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\base_parser.py                   | Python   |         66 |         62 |         27 |        155 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ethernet_parser.py               | Python   |         56 |         63 |         24 |        143 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\ip_parser.py                     | Python   |        139 |        103 |         48 |        290 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_cache.py                  | Python   |        124 |         97 |         37 |        258 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\packet_formatter.py              | Python   |        188 |        118 |         62 |        368 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\protocol_parser.py               | Python   |        157 |         96 |         49 |        302 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\analysis\transport_parser.py              | Python   |        149 |        115 |         50 |        314 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\__init__.py                       | Python   |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\capture\packet_capture.py                 | Python   |        163 |         86 |         46 |        295 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\__init__.py                        | Python   |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\settings.py                        | Python   |        137 |         73 |         35 |        245 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\__init__.py                           | Python   |          2 |          5 |          2 |          9 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\__init__.py                | Python   |          8 |          5 |          2 |         15 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\bpf_validator.py           | Python   |        211 |         59 |         57 |        327 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\capture_options_dialog.py  | Python   |        438 |        121 |        148 |        707 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\filter_template_manager.py | Python   |        304 |         90 |         63 |        457 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\interface_info_provider.py | Python   |        238 |        103 |         59 |        400 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\__init__.py                   | Python   |          2 |          6 |          2 |         10 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\protocol_stats_dialog.py      | Python   |        347 |        100 |        101 |        548 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\main_window.py                        | Python   |      1,167 |        459 |        187 |      1,813 |
| d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\main.py                                   | Python   |         72 |         26 |         21 |        119 |
