指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:52.196,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:52.197,192.168.31.159,224.0.0.251,5353,5353,DNS,70
2025-10-08 23:08:52.364,167.234.210.122,192.168.31.159,35305,52869,UDP,70
2025-10-08 23:08:52.533,192.168.31.159,192.168.31.255,137,137,UDP,92
2025-10-08 23:08:52.562,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:52.607,192.168.31.159,223.5.5.5,4690,443,TCP,133
2025-10-08 23:08:52.608,192.168.31.159,120.53.53.53,5596,443,TCP,140
2025-10-08 23:08:52.608,192.168.31.159,223.5.5.5,4690,443,TCP,133
2025-10-08 23:08:52.609,192.168.31.159,120.53.53.53,5596,443,TCP,140
2025-10-08 23:08:52.610,192.168.31.159,46.232.56.131,4850,443,TCP,66
2025-10-08 23:08:52.611,192.168.31.159,8.8.8.8,60298,53,DNS,71
2025-10-08 23:08:52.612,192.168.31.159,8.8.8.8,60299,53,DNS,71
2025-10-08 23:08:52.612,223.5.5.5,192.168.31.159,443,4690,TCP,60
2025-10-08 23:08:52.613,223.5.5.5,192.168.31.159,443,4690,TCP,118
2025-10-08 23:08:52.614,223.5.5.5,192.168.31.159,443,4690,TCP,228
2025-10-08 23:08:52.615,192.168.31.159,223.5.5.5,4690,443,TCP,54
2025-10-08 23:08:52.615,192.168.31.159,120.53.53.53,5596,443,TCP,96
2025-10-08 23:08:52.615,192.168.31.159,223.5.5.5,4690,443,TCP,90
2025-10-08 23:08:52.615,192.168.31.159,8.8.4.4,4853,443,TCP,66
2025-10-08 23:08:52.615,192.168.31.159,8.8.8.8,4851,443,TCP,66
2025-10-08 23:08:52.616,192.168.31.159,104.16.249.249,4855,443,TCP,66
2025-10-08 23:08:52.617,192.168.31.159,104.16.248.249,4856,443,TCP,66
2025-10-08 23:08:52.617,223.5.5.5,192.168.31.159,443,4690,TCP,91
2025-10-08 23:08:52.618,223.5.5.5,192.168.31.159,443,4690,TCP,228
2025-10-08 23:08:52.618,192.168.31.159,223.5.5.5,4690,443,TCP,54
2025-10-08 23:08:52.618,120.53.53.53,192.168.31.159,443,5596,TCP,66
2025-10-08 23:08:52.619,120.53.53.53,192.168.31.159,443,5596,TCP,60
2025-10-08 23:08:52.619,120.53.53.53,192.168.31.159,443,5596,TCP,623
2025-10-08 23:08:52.619,192.168.31.159,120.53.53.53,5596,443,TCP,54
2025-10-08 23:08:52.619,192.168.31.159,223.5.5.5,4690,443,TCP,106
2025-10-08 23:08:52.620,192.168.31.159,223.5.5.5,4690,443,TCP,90
2025-10-08 23:08:52.621,192.168.31.159,104.16.249.249,4861,443,TCP,66
2025-10-08 23:08:52.621,192.168.31.159,104.16.248.249,4863,443,TCP,66
2025-10-08 23:08:52.621,192.168.31.159,8.8.4.4,4865,443,TCP,66
2025-10-08 23:08:52.621,192.168.31.159,8.8.8.8,4866,443,TCP,66
2025-10-08 23:08:52.622,223.5.5.5,192.168.31.159,443,4690,TCP,60
2025-10-08 23:08:52.622,223.5.5.5,192.168.31.159,443,4690,TCP,93
2025-10-08 23:08:52.623,223.5.5.5,192.168.31.159,443,4690,TCP,103
2025-10-08 23:08:52.623,223.5.5.5,192.168.31.159,443,4690,TCP,260
2025-10-08 23:08:52.623,192.168.31.159,223.5.5.5,4690,443,TCP,54
2025-10-08 23:08:52.631,192.168.31.159,222.186.177.179,10137,443,TCP,55
2025-10-08 23:08:52.635,222.186.177.179,192.168.31.159,443,10137,TCP,66
2025-10-08 23:08:52.661,120.53.53.53,192.168.31.159,443,5596,TCP,60
2025-10-08 23:08:52.761,104.16.249.249,192.168.31.159,443,4855,TCP,66
2025-10-08 23:08:52.761,192.168.31.159,104.16.249.249,4855,443,TCP,54
